Gene,total_variants,variants_with_any_failure,any_failure_rate,avg_predictors_failed,SIFT_failure_rate,PolyPhen_failure_rate,CADD_failure_rate,REVEL_failure_rate
SLC1A5,1,1,1.0,1.0,1.0,0.0,0.0,0.0
SLC20A2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A1,4,3,0.75,2.25,0.75,0.5,0.5,0.5
SLC22A12,2,2,1.0,1.5,0.5,0.5,0.0,0.5
SLC22A14,3,2,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
SLC22A16,1,1,1.0,1.0,1.0,0.0,0.0,0.0
SLC22A2,4,3,0.75,1.0,0.25,0.0,0.75,0.0
SLC22A25,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A3,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC22A5,27,8,0.2962962962962963,0.7407407407407407,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.14814814814814814
SLC22A6,1,1,1.0,2.0,1.0,0.0,1.0,0.0
SLC22A7,2,1,0.5,1.5,0.5,0.5,0.5,0.0
SLC22A8,2,2,1.0,2.0,0.5,0.5,1.0,0.0
SLC24A3,1,1,1.0,1.0,0.0,0.0,1.0,0.0
SLC24A5,1,1,1.0,2.0,1.0,0.0,1.0,0.0
SLC25A1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A12,1,0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A15,6,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
